id,label,category,sender,subject,body_snippet,urls_in_email,red_flags,risk_level
1,phishing,Account Suspension,security-noreply@paypa1-alert.tk,Your PayPal account has been SUSPENDED,"Dear Customer, We detected unusual login activity on your PayPal account. Your account has been temporarily suspended. Click the link below within 24 hours to restore access or your account will be permanently closed. Verify Now: http://paypal-secure-login.tk/restore?token=A82k3X","http://paypal-secure-login.tk/restore?token=A82k3X","Misspelled domain (paypa1),Risky TLD (.tk),Urgent deadline,Generic greeting,Threatening language",Critical
2,phishing,Credential Harvesting,support@apple-id-locked.gq,URGENT: Your Apple ID has been disabled,"Your Apple ID (victim@gmail.com) was used to sign in to iCloud on a new device. If you did not do this your account may be compromised. Tap below to verify your identity: http://apple-id-support.gq/verify","http://apple-id-support.gq/verify","Risky TLD (.gq),Fake sender domain,Fear tactic,Suspicious URL",Critical
3,phishing,Fake Invoice,billing@amazon-invoice-dept.xyz,Invoice #INV-98231 is due for payment,"Hello, Please find attached your Amazon order invoice #INV-98231 for $349.99. If you did not authorize this charge click here immediately to cancel: http://amazon-billing.xyz/cancel?inv=98231","http://amazon-billing.xyz/cancel?inv=98231","Fake domain,Unsolicited invoice,Urgency,.xyz TLD",High
4,phishing,Bank Phishing,alerts@lloyds-bank-secure.ml,Security Alert: Unusual transaction detected on your account,"We have detected a suspicious transaction of £1200 from your Lloyds Bank account. To protect your funds we have temporarily frozen your account. Verify your details here: http://lloyds-secure-banking.ml/verify","http://lloyds-secure-banking.ml/verify","Risky TLD (.ml),Fake bank domain,Fear tactic,Account freeze threat",Critical
5,phishing,Prize Scam,winner@globalprize2026-notify.buzz,CONGRATULATIONS! You have won $50000 USD!,"Dear Winner, Your email address was selected in our annual sweepstake draw. You have won $50,000 USD! To claim your prize reply with your name, address, and bank account details. Alternatively visit: http://globalprize-claim.buzz/winner?id=TK8823","http://globalprize-claim.buzz/winner?id=TK8823","Too good to be true,.buzz TLD,Requests personal info,Unsolicited",High
6,phishing,CEO Fraud,ceo-office@companynamme.com,Urgent wire transfer required - Confidential,"Hi [Employee Name], I am currently in a meeting and need you to urgently process a wire transfer of $15,000 to a new vendor. This is time sensitive. Do not discuss with anyone until completed. I will explain when back. Please confirm by email. Regards CEO","None","Misspelled domain,CEO impersonation,Urgency + secrecy,No attachment/link (social engineering)",Critical
7,phishing,IT Support Scam,helpdesk@it-support-microsoft365.cf,Your Microsoft 365 subscription has EXPIRED,"Your Microsoft 365 Business subscription expired 3 days ago. To avoid service interruption and data loss renew immediately at: http://microsoft365-renew.cf/checkout?user=victim","http://microsoft365-renew.cf/checkout?user=victim","Risky TLD (.cf),Fake Microsoft domain,Urgency,Data loss threat",High
8,phishing,Netflix Billing,billing-noreply@netf1ix-account.top,Action Required: Update your Netflix payment information,"Hi, We were unable to process your payment for the current billing cycle. Your account will be cancelled in 48 hours. Update your billing details here: http://netflix-billing-update.top/payment","http://netflix-billing-update.top/payment","Misspelled brand (netf1ix),.top TLD,Payment phish,48-hour deadline",Critical
9,phishing,Tax Refund Scam,refunds@irs-tax-refund-portal.tk,IRS Tax Refund Notice - $3841.00 Pending,"The Internal Revenue Service has processed your tax refund. A refund of $3,841.00 is pending and will expire if not claimed within 5 business days. Submit your bank details at: http://irs-refund-claim.tk/submit","http://irs-refund-claim.tk/submit","IRS doesn't send email refunds,.tk TLD,Time pressure,Requests bank details",Critical
10,phishing,Package Delivery,delivery@dhl-tracking-notify.xyz,Your DHL package is on hold - Action Required,"We attempted to deliver your parcel but were unable to complete delivery due to an unpaid customs fee of $2.99. Pay the fee to release your package: http://dhl-customs-fee.xyz/pay?track=DH9923811","http://dhl-customs-fee.xyz/pay?track=DH9923811","Fake delivery notification,Small fee trick,.xyz TLD,Urgency",High
11,phishing,Lottery Scam,lottery@euromillions-winner-official.pw,EU Lottery Winner Notification - Ticket #EU-44812-X,"We are pleased to inform you that your email was randomly selected in the EuroMillions online lottery. Your prize: €750,000. To claim contact our agent at eurolottery.claims@protonmail.com and provide your full name, address, nationality and phone number.","None","Lottery you never entered,Requests PII,Suspicious free email for claims,No official domain",High
12,phishing,Cryptocurrency Scam,noreply@binance-security-alert.gq,Binance Security Alert: Withdrawal Request Detected,"A withdrawal of 1.4 BTC was requested from your Binance account from IP 185.220.101.4 (Russia). If this was not you click CANCEL immediately: http://binance-secure.gq/cancel?tx=BTC14XKP","http://binance-secure.gq/cancel?tx=BTC14XKP","Fake Binance domain,.gq TLD,Fear tactic,IP scare",Critical
13,phishing,HR Salary Phish,hr-payroll@yourcompany-payroll.tk,Important: Update your bank account for salary deposit,"Dear Employee, We are updating our payroll system. Please submit your updated bank account number and routing number via the secure portal: http://payroll-update.tk/submit by Friday to avoid payment delays.","http://payroll-update.tk/submit","Payroll credential theft,.tk TLD,Time pressure,Fake HR",Critical
